,"Outstanding Dues Spring Semester 2025 As Per Student Fee Management Record",,,,,
Sr. No.,Faculty,Department,Collected Dues,Outstanding Dues,No. Of Student Outstanding Dues
1,"Faculty of Health and Medical Sciences","Allied Health Sciences",10393415,2467595,65
2,"","Human Nutrition & Dietetics",6468065,166280,4
3,"","Microbiology",1352365,107295,3
4,"","Pharmacy",11850855,304650,4
5,"","Physiotherapy",15888360,139335,2
6,"Faculty of Natural and Applied Sciences","Biotechnology",7772900,0,0
7,"","Chemistry",8009395,0,0
8,"","Computer Sciences & Information Technology",19743135,223170,6
9,"","Forestry",779750,76690,2
10,"","Mathematics",5542510,181070,4
11,"","Physics",5883525,108665,3
12,"","Statistics",1483180,0,0
13,"","Zoology",7300565,239780,6
14,"Faculty of Engineering and Technology","Civil Engineering",12106755,1452595,16
15,"","Civil Engineering Technology",2459090,737430,17
16,"","Computer Systems Engineering",9254835,251485,5
17,"","Electrical Engineering",11020670,451755,9
18,"","Electrical Engineering Technology",1387910,490550,11
19,"","Mechanical Engineering",9746175,102430,2
20,"","Mirpur Institute of Technology",5213880,481240,11
21,"","Software Engineering",10637175,170415,2
22,"Faculty of Social Sciences and Humanities","Education",7770640,3146860,120
23,"","English",10526135,412715,12
24,"","Home Economics",2002160,1294280,52
25,"","Institute of Islamic Studies",6011365,480915,10
26,"","International Relations",6501765,274210,8
27,"","Law",12122270,704335,18
28,"","Mass Communication",2417280,33045,1
29,"","Sociology",2012665,0,0
30,"","Tourism and Hospitality",187620,34020,1
31,"Faculty of MBS","MUST business School",17971315,9667272,287
"Total outstanding Amount",,,,=SUM(E3:E33),=SUM(F3:F33)
